”Õ√≈,∫·œÚ,◊›œÚ
-0.8799999999999955,0.6099999999999852,0.12999999999999545
-1.0999999999999943,0.6599999999999966,0.1699999999999875
-1.5200000000000102,0.45999999999997954,-0.0
-0.8400000000000034,1.009999999999991,0.3699999999999761
-0.8199999999999932,0.8499999999999943,0.12999999999999545
-0.8400000000000034,0.7699999999999818,0.01999999999998181
-0.5500000000000114,0.4099999999999966,-0.11000000000001364
0.8799999999999955,0.29999999999998295,0.03999999999999204
3.030000000000001,0.0,1.4199999999999875
4.0800000000000125,-0.09000000000000341,2.1299999999999955
5.3799999999999955,-0.44000000000002615,2.789999999999992
6.460000000000008,-0.7700000000000102,1.4899999999999807
7.25,-0.6400000000000148,1.3100000000000023
8.569999999999993,-1.210000000000008,3.030000000000001
8.129999999999995,-0.8600000000000136,2.4599999999999795
8.280000000000001,-1.670000000000016,2.5
8.430000000000007,-1.4700000000000273,2.4099999999999966
8.830000000000013,-1.2800000000000011,2.5
8.680000000000007,-0.8200000000000216,2.4099999999999966
8.919999999999987,-0.35000000000002274,2.0999999999999943
9.139999999999986,-2.180000000000007,1.0300000000000011
9.25,-1.7800000000000011,-0.05000000000001137
9.009999999999991,-3.940000000000026,-1.5400000000000205
9.199999999999989,-3.6100000000000136,-2.0500000000000114
9.710000000000008,-4.130000000000024,-3.630000000000024
9.379999999999995,-4.380000000000024,-4.25
9.340000000000003,-3.8500000000000227,-3.8700000000000045
9.620000000000005,-6.570000000000022,-5.610000000000014
9.490000000000009,-6.840000000000003,-6.730000000000018
9.710000000000008,-6.3300000000000125,-6.820000000000022
10.370000000000005,-2.160000000000025,-4.969999999999999
10.319999999999993,-4.110000000000014,-5.150000000000006
10.629999999999995,-3.25,-5.0400000000000205
10.5,-3.390000000000015,-3.8100000000000023
10.460000000000008,-5.060000000000002,-3.5400000000000205
11.069999999999993,-1.6900000000000261,-2.8000000000000114
11.800000000000011,-1.8300000000000125,-0.27000000000001023
12.740000000000009,-1.6300000000000239,0.5
13.490000000000009,-1.7200000000000273,0.9799999999999898
13.689999999999998,-1.4300000000000068,0.18999999999999773
14.47999999999999,-0.660000000000025,-0.8400000000000034
14.759999999999991,-0.8200000000000216,1.289999999999992
15.069999999999993,-1.410000000000025,1.9099999999999966
15.069999999999993,1.3899999999999864,2.719999999999999
15.25,-0.75,3.4199999999999875
15.550000000000011,-1.2300000000000182,2.9199999999999875
16.72,-0.7900000000000205,2.9599999999999795
17.05000000000001,-0.5300000000000011,3.469999999999999
17.289999999999992,-1.2800000000000011,3.3799999999999955
13.139999999999986,-1.3600000000000136,3.6399999999999864
13.840000000000003,-1.1900000000000261,2.8100000000000023
12.060000000000002,-1.3600000000000136,3.6899999999999977
15.900000000000006,-0.9300000000000068,4.060000000000002
13.77000000000001,-0.6400000000000148,3.75
10.719999999999999,-0.4000000000000057,3.509999999999991
15.689999999999998,0.10999999999998522,5.929999999999978
16.560000000000002,-0.5300000000000011,6.889999999999986
17.419999999999987,-1.2300000000000182,6.6699999999999875
17.360000000000014,-3.410000000000025,5.72999999999999
17.659999999999997,-5.190000000000026,5.659999999999997
18.5,-2.240000000000009,7.179999999999978
14.849999999999994,-0.020000000000010232,4.389999999999986
